month,ecosystem,stack_overflow_tag_anchor,github_repo_group,representative_repo_count,month_index,post_chatgpt,so_dependence_pre,treatment_intensity,active_repos_observed,stackoverflow_questions_month,issues_opened,median_close_days,avg_first_response_hours,backlog_open_end_month,is_synthetic
2021-01-01,django,django,django/django | encode/django-rest-framework,2,0,0,0.69,0.0,96,401,53,8.89,13.26,158,1
2021-02-01,django,django,django/django | encode/django-rest-framework,2,1,0,0.69,0.0,95,394,52,9.49,12.96,139,1
2021-03-01,django,django,django/django | encode/django-rest-framework,2,2,0,0.69,0.0,96,406,51,9.98,13.48,154,1
2021-04-01,django,django,django/django | encode/django-rest-framework,2,3,0,0.69,0.0,99,405,53,9.49,13.07,150,1
2021-05-01,django,django,django/django | encode/django-rest-framework,2,4,0,0.69,0.0,99,390,56,10.73,14.5,150,1
2021-06-01,django,django,django/django | encode/django-rest-framework,2,5,0,0.69,0.0,94,393,53,9.56,13.12,152,1
2021-07-01,django,django,django/django | encode/django-rest-framework,2,6,0,0.69,0.0,93,374,50,9.64,14.43,148,1
2021-08-01,django,django,django/django | encode/django-rest-framework,2,7,0,0.69,0.0,96,391,51,9.65,14.22,144,1
2021-09-01,django,django,django/django | encode/django-rest-framework,2,8,0,0.69,0.0,93,370,55,10.21,12.53,159,1
2021-10-01,django,django,django/django | encode/django-rest-framework,2,9,0,0.69,0.0,95,367,47,9.54,14.56,153,1
2021-11-01,django,django,django/django | encode/django-rest-framework,2,10,0,0.69,0.0,93,389,51,9.46,13.38,143,1
2021-12-01,django,django,django/django | encode/django-rest-framework,2,11,0,0.69,0.0,90,365,46,10.09,12.25,151,1
2022-01-01,django,django,django/django | encode/django-rest-framework,2,12,0,0.69,0.0,89,395,48,9.88,13.09,150,1
2022-02-01,django,django,django/django | encode/django-rest-framework,2,13,0,0.69,0.0,87,369,53,9.02,14.47,152,1
2022-03-01,django,django,django/django | encode/django-rest-framework,2,14,0,0.69,0.0,89,374,49,9.93,13.86,147,1
2022-04-01,django,django,django/django | encode/django-rest-framework,2,15,0,0.69,0.0,91,366,47,9.85,12.33,146,1
2022-05-01,django,django,django/django | encode/django-rest-framework,2,16,0,0.69,0.0,92,377,51,10.36,14.39,146,1
2022-06-01,django,django,django/django | encode/django-rest-framework,2,17,0,0.69,0.0,86,374,51,9.44,13.66,147,1
2022-07-01,django,django,django/django | encode/django-rest-framework,2,18,0,0.69,0.0,95,384,50,9.77,13.16,145,1
2022-08-01,django,django,django/django | encode/django-rest-framework,2,19,0,0.69,0.0,93,381,47,9.93,13.97,147,1
2022-09-01,django,django,django/django | encode/django-rest-framework,2,20,0,0.69,0.0,95,384,55,10.06,15.12,151,1
2022-10-01,django,django,django/django | encode/django-rest-framework,2,21,0,0.69,0.0,93,385,56,9.96,15.17,157,1
2022-11-01,django,django,django/django | encode/django-rest-framework,2,22,0,0.69,0.0,97,382,60,9.53,13.67,158,1
2022-12-01,django,django,django/django | encode/django-rest-framework,2,23,1,0.69,0.69,98,368,60,10.69,15.67,162,1
2023-01-01,django,django,django/django | encode/django-rest-framework,2,24,1,0.69,0.69,96,369,64,11.38,15.28,160,1
2023-02-01,django,django,django/django | encode/django-rest-framework,2,25,1,0.69,0.69,100,356,61,10.39,15.6,173,1
2023-03-01,django,django,django/django | encode/django-rest-framework,2,26,1,0.69,0.69,100,366,62,11.02,15.58,160,1
2023-04-01,django,django,django/django | encode/django-rest-framework,2,27,1,0.69,0.69,103,360,61,11.02,14.52,158,1
2023-05-01,django,django,django/django | encode/django-rest-framework,2,28,1,0.69,0.69,105,368,65,11.34,15.58,165,1
2023-06-01,django,django,django/django | encode/django-rest-framework,2,29,1,0.69,0.69,99,336,63,10.83,14.91,164,1
2023-07-01,django,django,django/django | encode/django-rest-framework,2,30,1,0.69,0.69,96,356,62,10.07,16.59,161,1
2023-08-01,django,django,django/django | encode/django-rest-framework,2,31,1,0.69,0.69,97,347,63,10.46,16.03,163,1
2023-09-01,django,django,django/django | encode/django-rest-framework,2,32,1,0.69,0.69,99,343,62,10.11,14.3,160,1
2023-10-01,django,django,django/django | encode/django-rest-framework,2,33,1,0.69,0.69,98,347,61,10.35,15.43,155,1
2023-11-01,django,django,django/django | encode/django-rest-framework,2,34,1,0.69,0.69,94,325,63,10.4,13.84,162,1
2023-12-01,django,django,django/django | encode/django-rest-framework,2,35,1,0.69,0.69,91,340,60,11.7,15.58,165,1
2024-01-01,django,django,django/django | encode/django-rest-framework,2,36,1,0.69,0.69,92,316,57,10.91,15.28,162,1
2024-02-01,django,django,django/django | encode/django-rest-framework,2,37,1,0.69,0.69,93,329,61,10.92,16.75,156,1
2024-03-01,django,django,django/django | encode/django-rest-framework,2,38,1,0.69,0.69,95,325,62,9.9,15.99,162,1
2024-04-01,django,django,django/django | encode/django-rest-framework,2,39,1,0.69,0.69,94,342,62,10.42,15.04,162,1
2024-05-01,django,django,django/django | encode/django-rest-framework,2,40,1,0.69,0.69,92,329,59,11.52,15.43,162,1
2024-06-01,django,django,django/django | encode/django-rest-framework,2,41,1,0.69,0.69,90,361,60,10.82,16.15,168,1
2024-07-01,django,django,django/django | encode/django-rest-framework,2,42,1,0.69,0.69,97,344,60,12.0,15.42,166,1
2024-08-01,django,django,django/django | encode/django-rest-framework,2,43,1,0.69,0.69,93,350,62,10.35,13.75,157,1
2024-09-01,django,django,django/django | encode/django-rest-framework,2,44,1,0.69,0.69,102,351,65,11.1,15.61,168,1
2024-10-01,django,django,django/django | encode/django-rest-framework,2,45,1,0.69,0.69,97,367,64,9.94,16.4,166,1
2024-11-01,django,django,django/django | encode/django-rest-framework,2,46,1,0.69,0.69,98,357,66,11.2,16.41,165,1
2024-12-01,django,django,django/django | encode/django-rest-framework,2,47,1,0.69,0.69,104,356,71,10.03,15.77,166,1
2021-01-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,0,0,0.76,0.0,163,422,61,9.69,12.87,150,1
2021-02-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,1,0,0.76,0.0,160,419,61,9.83,14.33,147,1
2021-03-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,2,0,0.76,0.0,159,408,66,10.16,14.24,158,1
2021-04-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,3,0,0.76,0.0,160,416,62,10.29,13.63,155,1
2021-05-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,4,0,0.76,0.0,157,412,58,9.58,12.75,154,1
2021-06-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,5,0,0.76,0.0,158,434,62,9.59,13.61,161,1
2021-07-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,6,0,0.76,0.0,157,409,62,9.91,13.94,146,1
2021-08-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,7,0,0.76,0.0,161,417,69,10.04,13.22,157,1
2021-09-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,8,0,0.76,0.0,154,400,67,9.82,15.45,158,1
2021-10-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,9,0,0.76,0.0,157,406,68,10.44,16.18,149,1
2021-11-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,10,0,0.76,0.0,157,403,62,8.66,12.66,160,1
2021-12-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,11,0,0.76,0.0,161,406,63,9.1,13.93,154,1
2022-01-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,12,0,0.76,0.0,153,420,62,9.07,13.55,161,1
2022-02-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,13,0,0.76,0.0,153,418,62,9.03,14.28,160,1
2022-03-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,14,0,0.76,0.0,153,377,60,9.77,14.26,156,1
2022-04-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,15,0,0.76,0.0,150,377,58,9.65,14.32,156,1
2022-05-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,16,0,0.76,0.0,152,390,63,9.4,13.64,147,1
2022-06-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,17,0,0.76,0.0,151,407,58,9.75,14.1,148,1
2022-07-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,18,0,0.76,0.0,152,375,62,10.51,14.44,157,1
2022-08-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,19,0,0.76,0.0,152,392,66,9.75,14.72,159,1
2022-09-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,20,0,0.76,0.0,154,380,62,10.29,14.75,160,1
2022-10-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,21,0,0.76,0.0,155,407,66,9.28,14.59,162,1
2022-11-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,22,0,0.76,0.0,157,410,67,9.87,13.95,163,1
2022-12-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,23,1,0.76,0.76,158,373,73,10.98,17.37,169,1
2023-01-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,24,1,0.76,0.76,160,374,72,10.75,15.28,170,1
2023-02-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,25,1,0.76,0.76,159,386,76,10.85,16.43,179,1
2023-03-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,26,1,0.76,0.76,162,380,71,10.33,15.49,166,1
2023-04-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,27,1,0.76,0.76,161,399,74,11.02,16.69,165,1
2023-05-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,28,1,0.76,0.76,165,379,74,10.81,16.38,172,1
2023-06-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,29,1,0.76,0.76,167,394,75,10.96,15.36,176,1
2023-07-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,30,1,0.76,0.76,161,376,79,11.38,15.78,161,1
2023-08-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,31,1,0.76,0.76,162,363,74,10.37,15.94,167,1
2023-09-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,32,1,0.76,0.76,162,376,74,10.83,16.09,177,1
2023-10-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,33,1,0.76,0.76,161,370,77,10.45,16.48,173,1
2023-11-01,javascript,javascript,nodejs/node | expressjs/express | webpack/webpack,3,34,1,0.76,0.76,158,387,75,11.82,16.14,170,1
