month,ecosystem,stack_overflow_tag_anchor,github_repo_group,representative_repo_count,month_index,post_chatgpt,so_dependence_pre,treatment_intensity,active_repos_observed,stackoverflow_questions_month,issues_opened,median_close_days,avg_first_response_hours,backlog_open_end_month,is_synthetic,exposure_bucket,months_since_chatgpt,post_period_label,high_exposure,issues_per_active_repo,backlog_per_active_repo,questions_per_active_repo,avg_first_response_days,log_issues_opened,log_backlog_open_end_month,issue_burden_index,year,calendar_month,quarter,repo_scale,post_trend_months,season_sin,season_cos,lag_issues_opened,lag_backlog_open_end_month,lag_avg_first_response_hours,delta_issues_opened,delta_backlog_open_end_month,delta_avg_first_response_hours,log1p_issues_opened,log1p_backlog_open_end_month,active_repos_z,questions_per_active_repo_z,repo_scale_z
2021-01-01,django,django,django/django | encode/django-rest-framework,2,0,0,0.69,0.0,96,401,53,8.89,13.26,158,1,mid,-23,pre,0,0.5520833333333334,1.6458333333333333,4.177083333333333,0.5525,3.9889840465642745,5.0689042022202315,-0.5517337513518966,2021,1,1,4.574710978503383,0,0.49999999999999994,0.8660254037844387,53.0,158.0,13.26,0.0,0.0,0.0,3.9889840465642745,5.0689042022202315,-0.6981950594560971,2.2564339566369953,-0.6819949704299764
2021-02-01,django,django,django/django | encode/django-rest-framework,2,1,0,0.69,0.0,95,394,52,9.49,12.96,139,1,mid,-22,pre,0,0.5473684210526316,1.4631578947368422,4.147368421052631,0.54,3.970291913552122,4.941642422609304,-0.6238316545711164,2021,2,1,4.564348191467836,0,0.8660254037844386,0.5000000000000001,53.0,158.0,13.26,-1.0,-19.0,-0.29999999999999893,3.970291913552122,4.941642422609304,-0.7400933096250518,2.1981916563070003,-0.7333389237000434
2021-03-01,django,django,django/django | encode/django-rest-framework,2,2,0,0.69,0.0,96,406,51,9.98,13.48,154,1,mid,-21,pre,0,0.53125,1.6041666666666667,4.229166666666667,0.5616666666666666,3.951243718581427,5.043425116919247,-0.2578937370099066,2021,3,1,4.574710978503383,0,1.0,6.123233995736766e-17,52.0,139.0,12.96,-1.0,15.0,0.5199999999999996,3.9512437185814275,5.043425116919247,-0.6981950594560971,2.358519169392522,-0.6819949704299764
2021-04-01,django,django,django/django | encode/django-rest-framework,2,3,0,0.69,0.0,99,405,53,9.49,13.07,150,1,mid,-20,pre,0,0.5353535353535354,1.5151515151515151,4.090909090909091,0.5445833333333333,3.9889840465642745,5.017279836814924,-0.5220523356521377,2021,4,2,4.605170185988092,0,0.8660254037844387,-0.49999999999999983,51.0,154.0,13.48,2.0,-4.0,-0.41000000000000014,3.9889840465642745,5.017279836814924,-0.5725003089492329,2.087529331896035,-0.5310803448207023
2021-05-01,django,django,django/django | encode/django-rest-framework,2,4,0,0.69,0.0,99,390,56,10.73,14.5,150,1,mid,-19,pre,0,0.5656565656565656,1.5151515151515151,3.939393939393939,0.6041666666666666,4.04305126783455,5.017279836814924,0.2293096425561201,2021,5,2,4.605170185988092,0,0.49999999999999994,-0.8660254037844387,53.0,150.0,13.07,3.0,0.0,1.4299999999999997,4.04305126783455,5.017279836814924,-0.5725003089492329,1.7905541675163235,-0.5310803448207023
2021-06-01,django,django,django/django | encode/django-rest-framework,2,5,0,0.69,0.0,94,393,53,9.56,13.12,152,1,mid,-18,pre,0,0.5638297872340425,1.6170212765957446,4.180851063829787,0.5466666666666666,3.9889840465642745,5.030437921392435,-0.3877310729941919,2021,6,2,4.553876891600541,0,1.2246467991473532e-16,-1.0,56.0,150.0,14.5,-3.0,2.0,-1.3800000000000008,3.9889840465642745,5.030437921392435,-0.7819915597940065,2.2638188443682465,-0.7852205197628641
2021-07-01,django,django,django/django | encode/django-rest-framework,2,6,0,0.69,0.0,93,374,50,9.64,14.43,148,1,mid,-17,pre,0,0.5376344086021505,1.5913978494623655,4.021505376344086,0.60125,3.9318256327243257,5.003946305945459,-0.2393204289487903,2021,7,3,4.543294782270004,0,-0.4999999999999998,-0.8660254037844388,53.0,152.0,13.12,-3.0,-4.0,1.3100000000000005,3.9318256327243257,5.003946305945459,-0.8238898099629612,1.9514955469221031,-0.837651137617124
2021-08-01,django,django,django/django | encode/django-rest-framework,2,7,0,0.69,0.0,96,391,51,9.65,14.22,144,1,mid,-16,pre,0,0.53125,1.5,4.072916666666667,0.5925,3.951243718581427,4.976733742420574,-0.3363869074839704,2021,8,3,4.574710978503383,0,-0.8660254037844384,-0.5000000000000004,50.0,148.0,14.43,1.0,-4.0,-0.20999999999999908,3.9512437185814275,4.976733742420574,-0.6981950594560971,2.052263531125945,-0.6819949704299764
2021-09-01,django,django,django/django | encode/django-rest-framework,2,8,0,0.69,0.0,93,370,55,10.21,12.53,159,1,mid,-15,pre,0,0.5913978494623656,1.7096774193548387,3.978494623655914,0.5220833333333333,4.02535169073515,5.075173815233827,-0.1302550595379296,2021,9,3,4.543294782270004,0,-1.0,-1.8369701987210297e-16,51.0,144.0,14.22,4.0,15.0,-1.6900000000000013,4.02535169073515,5.075173815233827,-0.8238898099629612,1.8671929196143142,-0.837651137617124
2021-10-01,django,django,django/django | encode/django-rest-framework,2,9,0,0.69,0.0,95,367,47,9.54,14.56,153,1,mid,-14,pre,0,0.4947368421052631,1.6105263157894736,3.863157894736842,0.6066666666666667,3.871201010907891,5.0369526024136295,-0.3179154700976163,2021,10,4,4.564348191467836,0,-0.8660254037844386,0.5000000000000001,55.0,159.0,12.53,-8.0,-6.0,2.030000000000001,3.871201010907891,5.0369526024136295,-0.7400933096250518,1.6411287690179015,-0.7333389237000434
