,issues_opened,median_close_days,avg_first_response_hours,backlog_open_end_month,issue_burden_index,issues_per_active_repo,backlog_per_active_repo,questions_per_active_repo,so_dependence_pre,treatment_intensity,active_repos_observed
issues_opened,1.0,0.635005,0.748189,0.844155,0.749101,-0.026122,-0.498113,-0.447072,0.585958,0.752787,0.719774
median_close_days,0.635005,1.0,0.642661,0.59811,0.856558,0.206304,-0.122172,-0.132796,0.406664,0.686162,0.301304
avg_first_response_hours,0.748189,0.642661,1.0,0.693861,0.854996,0.12028,-0.23929,-0.143318,0.553436,0.759234,0.430212
backlog_open_end_month,0.844155,0.59811,0.693861,1.0,0.781932,0.156581,-0.168427,-0.309367,0.467894,0.773791,0.478786
issue_burden_index,0.749101,0.856558,0.854996,0.781932,1.0,0.457033,0.055803,-0.108347,0.37676,0.881836,0.206144
issues_per_active_repo,-0.026122,0.206304,0.12028,0.156581,0.457033,1.0,0.849643,0.281557,-0.390726,0.410474,-0.702506
backlog_per_active_repo,-0.498113,-0.122172,-0.23929,-0.168427,0.055803,0.849643,1.0,0.450534,-0.597956,0.020921,-0.932537
questions_per_active_repo,-0.447072,-0.132796,-0.143318,-0.309367,-0.108347,0.281557,0.450534,1.0,0.201755,-0.28081,-0.516021
so_dependence_pre,0.585958,0.406664,0.553436,0.467894,0.37676,-0.390726,-0.597956,0.201755,1.0,0.263751,0.680294
treatment_intensity,0.752787,0.686162,0.759234,0.773791,0.881836,0.410474,0.020921,-0.28081,0.263751,1.0,0.232396
active_repos_observed,0.719774,0.301304,0.430212,0.478786,0.206144,-0.702506,-0.932537,-0.516021,0.680294,0.232396,1.0
