months_since_chatgpt,exposure_bucket,issues_per_active_repo
-23,high,0.42817599380268967
-22,high,0.42645604734019366
-21,high,0.44961647081079376
-20,high,0.4325641482537419
-19,high,0.4120538809058305
-18,high,0.44112876466242223
-17,high,0.42273551272519944
-16,high,0.43509485094850947
-15,high,0.4504936953212815
-14,high,0.45659344967259785
-13,high,0.4359490238471129
-12,high,0.4350962362063195
-11,high,0.44617458509823965
-10,high,0.426398901258199
-9,high,0.4312691749642806
-8,high,0.43230599647266316
-7,high,0.4511927340874709
-6,high,0.45071238311624046
-5,high,0.43652296658688194
-4,high,0.4500142789633473
-3,high,0.4416065416065416
-2,high,0.4614053007832399
-1,high,0.4575982526081046
0,high,0.49578317171147795
1,high,0.476810551558753
2,high,0.5173301480959871
3,high,0.49881318432284916
4,high,0.5043361663373576
5,high,0.5073926135661396
6,high,0.4972477477432724
7,high,0.5254920748991895
8,high,0.5151012123234345
9,high,0.5114125586347809
10,high,0.5075642506615545
11,high,0.5159413038539372
12,high,0.5028767274572797
13,high,0.5188464907331279
14,high,0.5159540751646015
15,high,0.5151583641922367
16,high,0.5399366304571409
17,high,0.5169868406350189
18,high,0.5167743470312773
19,high,0.5310840055085579
20,high,0.525629843986096
21,high,0.5204686381156969
22,high,0.5316658337015281
23,high,0.5390784789518966
24,high,0.5365841842752671
-23,low,0.5002881089575694
-22,low,0.533334096061842
-21,low,0.4985745661566027
-20,low,0.5005341880341881
-19,low,0.5001322751322751
-18,low,0.521450363883314
-17,low,0.5101488389278456
-16,low,0.5336049788157068
-15,low,0.5106269059757431
-14,low,0.5119532428355957
-13,low,0.5166127094659255
-12,low,0.5153746954737324
-11,low,0.5043082382439813
-10,low,0.5088573655761999
-9,low,0.5296237413884473
-8,low,0.5093364108850835
-7,low,0.526544584633296
-6,low,0.5245359776252224
-5,low,0.5340598347073833
-4,low,0.5296481249194666
-3,low,0.523348900049931
-2,low,0.5359295011829491
-1,low,0.5299506186205694
0,low,0.585425132760336
1,low,0.5485782826945816
2,low,0.6049511129602663
3,low,0.5879103833929497
4,low,0.590410052910053
5,low,0.5831298331298331
6,low,0.5777941229886311
7,low,0.5701197293076522
8,low,0.5920780271257472
9,low,0.5930711610486892
10,low,0.6065420585770473
11,low,0.5897644391878573
12,low,0.595993833576877
13,low,0.6047733833570285
14,low,0.613697164258962
15,low,0.6225771225771225
16,low,0.6246159970297901
17,low,0.62233398322108
18,low,0.6270192132261098
19,low,0.6287366352506173
20,low,0.6145382863403102
21,low,0.6231207198598503
22,low,0.6146507346274381
23,low,0.6195611824238517
24,low,0.6078209192323815
-23,mid,0.5113357843137255
-22,mid,0.5236842105263158
-21,mid,0.5303308823529411
-20,mid,0.49880884314846574
-19,mid,0.5328282828282829
-18,mid,0.5472210160660009
-17,mid,0.5213424568263278
-16,mid,0.535625
-15,mid,0.5688948010198426
-14,mid,0.5205642973412913
-13,mid,0.5161290322580645
-12,mid,0.5184421534936998
-11,mid,0.5356203681568252
-10,mid,0.5742606224977399
-9,mid,0.5764172625127681
-8,mid,0.5371891266628108
-7,mid,0.5220718722271518
-6,mid,0.5596695226438189
-5,mid,0.5233619763694952
-4,mid,0.5355164548712936
-3,mid,0.5571504518872941
-2,mid,0.5820276497695853
-1,mid,0.5964070633867511
0,mid,0.6022389538339608
1,mid,0.6238095238095238
2,mid,0.597929292929293
3,mid,0.6158252427184465
4,mid,0.601116504854369
5,mid,0.5931776556776557
6,mid,0.635013501350135
7,mid,0.6161858974358975
8,mid,0.6168214759620292
9,mid,0.6363636363636365
10,mid,0.6193052978767264
11,mid,0.6310247503256622
12,mid,0.655986119144014
13,mid,0.6159050576752441
14,mid,0.6612903225806451
15,mid,0.631578947368421
16,mid,0.6493748629085325
17,mid,0.6287329819938515
18,mid,0.6515151515151515
19,mid,0.6265860428231562
20,mid,0.655448717948718
21,mid,0.6568627450980392
22,mid,0.6476539165622892
23,mid,0.6527724297266075
24,mid,0.6595279720279721
