outcome,heterogeneity_dimension,model_type,subgroup,coef_treatment_intensity,std_error,t_stat,p_value,coef_interaction,std_error_interaction,p_value_interaction,implied_high_group_effect,n_obs,ecosystem_count,threshold_value,notes
avg_first_response_hours,pre_period_active_repo_scale,interaction,low_reference,2.458924183017066,0.18351901038510296,13.398743693403588,0.0,0.06980856133878277,0.16393337279643727,0.6705108439556988,2.5287327443558487,384,8,104.76086956521739,Interaction FE model: treatment + treatment×high_group + controls.
avg_first_response_hours,pre_period_active_repo_scale,split_sample,high,2.459434064881629,0.30021420863162046,8.192264037374365,1.6120438317557273e-13,,,,,192,4,104.76086956521739,Split-sample FE model estimated separately within subgroup.
avg_first_response_hours,pre_period_active_repo_scale,split_sample,low,2.8062477555173335,0.40364232452059445,6.95231293906136,1.3381828978253907e-10,,,,,192,4,104.76086956521739,Split-sample FE model estimated separately within subgroup.
backlog_open_end_month,pre_period_active_repo_scale,interaction,low_reference,-2.6900377887646894,2.2362238833309442,-1.2029375988766255,0.2298787568136884,4.382523812513203,1.0898028245657407,7.203165552827073e-05,1.692486023748514,384,8,104.76086956521739,Interaction FE model: treatment + treatment×high_group + controls.
backlog_open_end_month,pre_period_active_repo_scale,split_sample,high,4.511213155600651,3.0569134882826843,1.475741192183677,0.1423080452116332,,,,,192,4,104.76086956521739,Split-sample FE model estimated separately within subgroup.
backlog_open_end_month,pre_period_active_repo_scale,split_sample,low,-7.89837341642157,2.426286659805493,-3.255333983106001,0.0014271562671139826,,,,,192,4,104.76086956521739,Split-sample FE model estimated separately within subgroup.
issue_burden_index,pre_period_active_repo_scale,interaction,low_reference,0.6745860594429672,0.12645117085671467,5.33475534368408,1.8001734392036894e-07,0.04621260136054267,0.06048764507317608,0.4454228506211264,0.72079866080351,384,8,104.76086956521739,Interaction FE model: treatment + treatment×high_group + controls.
issue_burden_index,pre_period_active_repo_scale,split_sample,high,0.8018912081046974,0.11373587537602067,7.05046851271488,7.988165684480464e-11,,,,,192,4,104.76086956521739,Split-sample FE model estimated separately within subgroup.
issue_burden_index,pre_period_active_repo_scale,split_sample,low,0.5117438009428399,0.10289155589763363,4.973622922487163,1.9345620236865813e-06,,,,,192,4,104.76086956521739,Split-sample FE model estimated separately within subgroup.
issues_opened,pre_period_active_repo_scale,interaction,low_reference,5.427046136201531,1.5983433875194129,3.395419393966502,0.0007704598934845652,0.43785616640369823,0.5849148318182975,0.4546528136072694,5.864902302605229,384,8,104.76086956521739,Interaction FE model: treatment + treatment×high_group + controls.
issues_opened,pre_period_active_repo_scale,split_sample,high,4.205048124564265,0.33494005295657375,12.554629067039246,0.0,,,,,192,4,104.76086956521739,Split-sample FE model estimated separately within subgroup.
issues_opened,pre_period_active_repo_scale,split_sample,low,7.128644105409289,2.728271632949167,2.6128791647125955,0.009980888420482392,,,,,192,4,104.76086956521739,Split-sample FE model estimated separately within subgroup.
